Time,RPM
0.011988688,0
0.024168492000000003,0
0.036220246000000005,1
0.048797189000000005,1
0.061900391000000006,1
0.07524485,2
0.08854614000000001,1
0.101808098,1
0.11512609300000001,1
0.128620953,1
0.142034828,2
0.15545819500000002,1
0.168918698,1
0.18255104100000002,2
0.19595503,2
0.209251404,1
0.222704709,1
0.23609195100000002,2
0.24958185100000002,2
0.262912657,3
0.27640126200000004,4
0.289865085,5
0.30323397700000004,6
0.31654998,7
0.32999552000000004,8
0.34336098000000004,8
0.356112606,9
0.368903651,10
0.38216869400000003,11
0.395599238,12
0.408894283,13
0.422123046,14
0.43554896600000004,15
0.44902459800000005,16
0.462366068,17
0.475565328,18
0.48899222400000003,19
0.502272216,20
0.515127764,21
0.528058589,22
0.5409642530000001,23
0.554019774,24
0.567125478,25
0.580379736,25
0.593618383,26
0.606925302,27
0.619484294,28
0.631566461,29
0.643998736,30
0.6560782350000001,31
0.669017819,33
0.6823662930000001,34
0.6957604470000001,35
0.7088897070000001,37
0.722321843,39
0.735725862,40
0.749020633,43
0.762446367,45
0.775862578,47
0.7891673530000001,50
0.8025055090000001,51
0.815883676,53
0.829265008,54
0.842627737,55
0.8557738540000001,56
0.869055958,56
0.8827038540000001,57
0.8960971940000001,59
0.9092743710000001,62
0.9226476610000001,65
0.9362635960000001,69
0.9497345920000001,73
0.9633294590000001,77
0.976746902,81
0.9899812560000001,83
1.003400678,82
1.016790611,78
1.030333894,76
1.043758017,75
1.057002325,74
1.070149426,73
1.083555584,74
1.0971223220000001,75
1.110490068,77
1.123688599,78
1.13694171,79
1.149772682,80
1.163238813,82
1.176761567,83
1.19009585,84
1.203396031,85
1.216758491,86
1.230323126,85
1.2436819380000002,83
1.256798464,80
1.2700956350000001,78
1.2835472920000002,77
1.296899539,79
1.31008998,81
1.3235481690000002,85
1.33694369,88
1.3502595210000001,91
1.363651449,91
1.3770850090000002,88
1.3900570220000001,85
1.403294258,82
1.41671155,80
1.429914421,79
1.443185272,79
1.456681453,81
1.4699457900000001,83
1.483353696,85
1.4967632160000002,87
1.510111991,90
1.5235581100000002,93
1.5369772860000002,96
1.5502040380000002,98
1.5636537560000001,100
1.5771034650000002,100
1.590201862,98
1.603580677,96
1.6167919080000002,95
1.6301771010000001,96
1.6435122500000001,100
1.656963369,106
1.670114826,111
1.6835355,114
1.6971822680000002,113
1.7102769690000001,108
1.7232031030000001,105
1.736192237,103
1.74943456,102
1.762721345,104
1.776051387,106
1.7894342040000002,107
1.802701952,110
1.816213784,115
1.8295027620000002,119
1.8427582240000002,123
1.8558994450000001,125
1.868903462,122
1.8823514350000001,119
1.8957140380000002,120
1.9090598870000002,125
1.922124525,132
1.935454817,139
1.948378965,139
1.9619130340000002,134
1.9751353370000002,132
1.9882708590000002,132
2.001487673,134
2.014533564,137
2.027722481,139
2.04081453,141
2.0540439210000003,145
2.067140281,148
2.0804523980000003,147
2.093894282,143
2.106885364,140
2.12024123,142
2.1335961080000003,147
2.146736653,151
2.160015409,149
2.173319279,143
2.186468516,140
2.1995324970000003,139
2.212506163,140
2.2254021550000003,143
2.238617988,145
2.2519345210000004,148
2.264838991,150
2.278253867,149
2.2914036180000004,145
2.304792319,141
2.317851274,141
2.330684831,145
2.343936529,150
2.3568458100000003,150
2.370302911,144
2.3836978220000002,138
2.397349588,136
2.4104787510000003,138
2.423658477,141
2.4371237580000003,144
2.4502452000000003,148
2.463421766,153
2.476720281,154
2.4902016490000003,152
2.5033948720000003,147
2.5167730820000003,145
2.530167081,150
2.543556449,157
2.55700327,161
2.570335801,157
2.583664788,150
2.5963774130000004,148
2.608498855,149
2.6207015080000002,152
2.633525299,156
2.6466569250000003,162
2.659984638,168
2.673318762,172
2.6866072190000003,169
2.7000927800000003,162
2.713260285,161
2.7267205590000003,167
2.740143793,173
2.753574866,171
2.767008103,163
2.7804956620000003,159
2.7938936080000003,161
2.806888534,163
2.820100881,169
2.8334351690000004,175
2.84694096,180
2.8601271120000002,182
2.873524424,178
2.8868886170000003,176
2.900325026,181
2.913378164,186
2.926447,184
2.939356284,178
2.9525142620000002,176
2.965756132,178
2.978991059,180
2.9923102110000004,186
3.0057856590000003,194
3.019133703,200
3.032447313,199
3.045696119,197
3.058982562,200
3.07258126,205
3.0858750870000002,197
3.099353531,188
3.112800468,185
3.126232464,188
3.139832972,189
3.1532706900000003,193
3.1667782690000004,198
3.1803068160000003,198
3.193571191,195
3.206942144,197
3.220449271,206
3.2337323770000004,207
3.2472989520000004,194
3.260846164,185
3.273970905,187
3.2874632480000003,190
3.300618007,193
3.313975396,198
3.327434322,201
3.3405232920000003,196
3.3539848070000002,193
3.3671076660000003,200
3.380554291,208
3.3939337320000003,203
3.407132932,191
3.420620859,185
3.4337965340000003,187
3.446674015,189
3.459256115,193
3.4719052570000004,198
3.484932197,197
3.4982882710000003,192
3.511386024,192
3.52439684,202
3.537358503,208
3.5502537430000003,203
3.563432086,196
3.57665222,194
3.5900451440000003,195
3.6032064210000003,197
3.616734654,203
3.6298527710000004,210
3.642830512,206
3.65627212,201
3.669388774,209
3.682539121,217
3.6958505180000003,212
3.709008764,204
3.722266986,205
3.735305459,207
3.748486127,208
3.7618875870000004,213
3.775083248,216
3.7884933450000005,212
3.801511639,213
3.8148811680000003,221
3.828220984,225
3.841481582,217
3.8547457510000003,213
3.867624177,217
3.8809503590000003,221
3.8943594490000004,225
3.9075431180000004,228
3.920920139,224
3.934173738,222
3.947486972,230
3.960898058,233
3.9741689270000005,224
3.987681208,220
4.0010193460000005,227
4.014441957,233
4.027980556,239
4.041243059,240
4.054780856,233
4.0680146740000005,235
4.081405973,244
4.094946264,240
4.108417167,228
4.121541666000001,229
4.134946048000001,234
4.147889849,238
4.161326084000001,246
4.174647027000001,243
4.187966546,233
4.2013824060000005,238
4.214623089,245
4.227793931,233
4.241186063000001,225
4.254630329,228
4.267623257,232
4.280806898000001,239
4.294053223000001,244
4.306988732000001,239
4.320542722,237
4.3336702140000005,243
4.347065652,240
4.360617959000001,229
4.373695122,227
4.3872083900000005,230
4.400425936,234
4.413590415000001,242
4.426772852,244
4.440425623,238
4.454020745,243
4.466944079,246
4.480328786,233
4.493623234,224
4.506717242000001,228
4.520123132,230
4.533663646,234
4.546843084000001,240
4.560118243000001,239
4.573581687,239
4.5868171040000005,250
4.600355429,249
4.613737791,234
4.627209888,232
4.640284438,239
4.653721021,242
4.666957669,247
4.680446518,248
4.693690951000001,246
4.706982227,255
4.720088631,261
4.733237229,247
4.7464227590000005,239
4.759556285,244
4.772797842,248
4.786014985,254
4.79912029,253
4.81237427,250
4.825665311000001,261
4.839008443,269
4.851950499,258
4.865257028,250
4.878276846,255
4.891496228,260
4.904816659000001,265
4.917981405,262
4.931352408,261
4.944868579,272
4.958139844000001,271
4.971597721,261
4.984940175,262
4.998265215,267
5.011678301,271
5.024940977,273
5.0380477280000004,271
5.051429586,279
5.064853354,281
5.078291102000001,271
5.091493136,271
5.104739467,278
5.117971477,281
5.131456872,278
5.144882477,274
5.1583167240000005,280
5.171411762,280
5.184595361,268
5.197760774000001,269
5.211161781,277
5.224301106,280
5.237675102000001,278
5.250943469,271
5.26428602,279
5.277718225,283
5.291029186,268
5.304453689000001,267
5.317582762000001,276
5.330828444000001,282
5.343983469,283
5.356988629,276
5.370104929,276
5.383369286000001,282
5.396379486000001,272
5.409793276,264
5.423105605,271
5.4364428490000005,277
5.449890872,280
5.463339859,278
5.476746812,277
5.4902003740000005,282
5.5035804960000005,274
5.516974489000001,266
5.530520884,270
5.5438965520000005,276
5.5571392280000005,282
5.570624932,281
5.584058727,281
5.597233701,286
5.610677201000001,276
5.623594101,267
5.636949308,272
5.650250714,277
5.663580811,281
5.676917461,283
5.690105546000001,285
5.703576209,295
5.716907087,288
5.730295491000001,275
5.743894404000001,281
5.757195323,288
5.770621541000001,290
5.783809097000001,289
5.797145584000001,294
5.810596887,304
5.823635390000001,294
5.836766851,281
5.85017701,288
5.863651631000001,295
5.877096423,295
5.890426164,293
5.903914121000001,303
5.9172088920000006,309
5.929985987,298
5.942940611,292
5.955633132,298
5.968828527,305
5.981960215,304
5.995060489,303
6.008315430000001,313
6.021586986,310
6.034941539,301
6.048243833000001,304
6.061419744,308
6.074543044,307
6.087902952,305
6.101084666,312
6.114382911000001,313
6.1276779050000005,302
6.140814124,304
6.15424429,311
6.167252253,311
6.180590378000001,306
6.193792795,310
6.206970464,313
6.220228466,302
6.233584352,300
6.2469114690000005,310
6.260367594000001,312
6.273669172,306
6.286994687,307
6.300277089000001,315
6.313821704,305
6.326791228,297
6.340302383,307
6.353589980000001,315
6.366892604,313
6.380229818,306
6.393721679,312
6.407145010000001,309
6.420400592,296
6.433503272,299
6.446536443,310
6.459927046000001,313
6.473371655,309
6.486797518,311
6.5001424000000005,312
6.513429464000001,300
6.526837515,298
6.5399236940000005,307
6.553094856,313
6.566202315000001,312
6.579573511,312
6.592914325000001,316
6.605990635,303
6.619402405000001,296
6.632693949,303
6.6460957480000005,308
6.659527349,311
6.672823813000001,313
6.686282276,321
6.699712768,317
6.713134815,303
6.726465146000001,310
6.739798448,318
6.7532744330000005,317
6.766655216,317
6.780154756000001,329
6.793603362000001,326
6.806855389000001,311
6.820254256,314
6.833532109,323
6.846968301,321
6.860385593,320
6.873694245,333
6.88689365,334
6.9002225290000005,320
6.9137970840000005,323
6.927171958000001,332
6.940329013,331
6.9537808960000005,329
6.966956824,340
6.980474131,335
6.993698987,327
7.006914856000001,332
7.020250686000001,337
7.033573903000001,333
7.046976195,336
7.060401523,342
7.073689935000001,333
7.087098791000001,333
7.1003392430000005,342
7.1137988420000005,340
7.127061368000001,336
7.140104526,341
7.15310802,338
7.166442165,329
7.179945161,336
7.19307471,343
7.206199314,336
7.21943319,335
7.232415203,344
7.245358142000001,334
7.258428103000001,327
7.271761347000001,340
7.285000021,346
7.29843969,337
7.311956973,337
7.3254027950000005,342
7.3388260050000005,329
7.352204612,328
7.365699,340
7.379302249,342
7.392868309000001,336
7.4063262540000006,342
7.419714939,337
7.433213907000001,327
7.446620944,333
7.460074919,342
7.473565003,341
7.486805889,341
7.500214133,344
7.513644802000001,331
7.526960972,326
7.540293881,334
7.553421655,337
7.566553039,336
7.57982838,343
7.592889819000001,345
7.606174800000001,329
7.619065814000001,329
7.632406243,339
7.645475618000001,338
7.658432347000001,336
7.671293688,346
7.684311671000001,346
7.697564027,328
7.710744578000001,330
7.723472243000001,340
7.7362404730000005,338
7.749158491,336
7.761948209000001,349
7.774941758000001,349
7.788098495000001,336
7.8000977350000005,338
7.8125581,348
7.825458156000001,347
7.838516050000001,345
7.851652368000001,355
7.864824852000001,351
7.87790107,343
7.890816866000001,349
7.904096784000001,353
7.916996886000001,349
7.930083981,356
7.943194625,359
7.956280178,350
7.969436333000001,354
7.982744832000001,363
7.996101575000001,359
8.009503592,359
8.02281115,364
8.036156437,355
8.049426802000001,356
8.062874848,367
8.076277063000001,363
8.089719538,359
8.103104588,367
8.116597086,357
8.130056318000001,354
8.143416516,368
8.156728111000001,369
8.170180684,360
8.183539926,365
8.196869892,360
8.210305841,349
8.223533835000001,361
8.236821482,369
8.249821185,363
8.263206264,365
8.276616938,363
8.289769656,351
8.303021147,358
8.316303751000001,369
8.329385819,366
8.342494614000001,367
8.35580037,365
8.36910594,352
8.382468537000001,352
8.395709093,362
8.409103693,362
8.422394407,364
8.435925423,370
8.449445088000001,357
8.46292176,353
8.476223094,365
8.489472721,363
8.502770162000001,362
8.516300071,372
8.529509777000001,362
8.542878484000001,350
8.556554434,360
8.56994878,362
8.58327714,357
8.596397684000001,368
8.609850628,367
8.623264701,353
8.636704409,359
8.650119004,366
8.66340843,360
8.676648663,365
8.689941071,367
8.702968706,357
8.716364638,358
8.729547688,366
8.742956889,363
8.756414524,367
8.769712140000001,371
8.783018001,363
8.79619465,368
8.809321983,376
8.822736466,372
8.835970567,373
8.849260657,374
8.862690589000001,366
8.876017338,373
8.889429251000001,381
8.902723025,374
8.916191143,379
8.929563454,381
8.942964060000001,370
8.956221484,381
8.969389562,391
8.982827407,383
8.996429753000001,384
9.009859736000001,384
9.023280855000001,375
9.036724216000001,384
9.050096214,393
9.063581882000001,388
9.077084902000001,389
9.090354701,384
9.103694539000001,378
9.11706573,388
9.130196882,394
9.143632891000001,392
9.156767304,391
9.170017897000001,380
9.183392490000001,376
9.196516431000001,385
9.209972921,388
9.223253081000001,390
9.236669112000001,393
9.249137395,380
9.261595900000001,378
9.273848469,389
9.286527256000001,389
9.299776655,389
9.313201885,395
9.326513968,382
9.339857028,376
9.353147029,387
9.366593687,385
9.380178039,386
9.393649732,394
9.406901132,383
9.420328304,379
9.433534960000001,389
9.446762956,388
9.460305868,389
9.473401934,390
9.486735938,382
9.500021337,382
9.513519121,387
9.526617964,385
9.539659335000001,389
9.552838313,387
9.566069123,381
9.579508905,387
9.592764166,390
9.606213897,386
9.619655024,389
9.633156547,382
9.646398152,381
9.659766771000001,390
9.673252549,387
9.686915161,385
9.700133396,390
9.713543673,380
9.726980849,384
9.74020012,397
9.753693011000001,392
9.766830877,390
9.78016974,392
9.793652185000001,382
9.806650000000001,388
9.81988856,401
9.833239832,398
9.846591004,398
9.859952767000001,395
9.873424502,388
9.886920145000001,399
9.899716464,407
9.912472711000001,405
9.925585095,406
9.938943159,396
9.952423115,393
9.965901184,403
9.979299103,406
9.992744356000001,410
10.005854807,411
